	Logo	Team	NoOfGames	Won	Loss	WinRate	Kills	Deaths	Duration
0	1018322454570182183	Evil Geniuses	20	11	9	55.00000000000001	22.65	18.95	2185.95
1	862855679982708969	OG	22	12	10	54.54545454545454	24.40909090909091	31.181818181818183	2232.7272727272725
2	975479762873971573	INVICTUS GAMING	25	18	7	72.0	28.8	20.6	2391.92
3	987883915862592200	Team Secret	25	15	10	60.0	27.84	22.36	2474.2
4	845963870798027729	Vici Gaming	27	15	12	55.55555555555556	24.703703703703702	23.22222222222222	2460.962962962963
5	1664609440937553639	beastcoast	17	7	10	41.17647058823529	22.529411764705884	31.176470588235293	2343.3529411764707
6	1673617129954032824	Quincy Crew	19	7	12	36.84210526315789	21.842105263157894	26.157894736842106	2488.3684210526317
7	1740069961068193325	Virtus.pro	24	14	10	58.333333333333336	26.416666666666668	22.583333333333332	2258.7916666666665
8	1619596767758664453	Undying	17	9	8	52.94117647058824	24.705882352941178	25.058823529411764	2463.8823529411766
9	1662356550778267512	SG esports	16	2	14	12.5	19.0625	31.125	2437.0
10	1629730253163462144	Team Aster	17	5	12	29.411764705882355	19.823529411764707	22.647058823529413	2246.6470588235293
11	1684898053518612571	Thunder Predator	16	0	16	0.0	17.0625	31.4375	2201.1875
12	255967725890131816	Alliance	19	5	14	26.31578947368421	21.57894736842105	30.63157894736842	2286.7368421052633
13	1658977260140178019	T1	24	14	10	58.333333333333336	26.208333333333332	20.083333333333332	2368.5833333333335
14	1660101892780174189	Elephant	17	6	11	35.294117647058826	21.352941176470587	24.647058823529413	2465.176470588235
15	1768194395980560504	PSG.LGD	28	23	5	82.14285714285714	24.857142857142858	16.321428571428573	2210.9285714285716
16	1773822957617535601	Team Spirit	36	24	12	66.66666666666666	23.63888888888889	19.666666666666668	2274.0833333333335
17	772866954983282781	Fnatic	19	7	12	36.84210526315789	23.842105263157894	23.526315789473685	2546.315789473684
